General : Specimen number,1
General : Start time,"4/6/2021 1:14 PM"
General : End time,"4/6/2021 1:15 PM"
Test : Test rate,"5.00000",mm/min
Specimen properties : Thickness,"3.00000",mm
Specimen properties : Width,"13.30000",mm
Specimen properties : Length,"50.00000",mm

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.14562","-0.12262"
"0.10000","0.14980","1.46240"
"0.20000","0.15956","5.11851"
"0.30000","0.16865","8.50450"
"0.40000","0.17710","11.73574"
"0.50000","0.18547","14.94130"
"0.60000","0.19367","18.02819"
"0.70000","0.20201","21.11419"
"0.80000","0.21027","24.20065"
"0.90000","0.21870","27.44431"
"1.00000","0.22688","30.53972"
"1.10000","0.23522","33.64077"
"1.20000","0.24350","36.77931"
"1.30000","0.25197","40.03720"
"1.40000","0.26023","43.20253"
"1.50000","0.26864","46.36570"
"1.60000","0.27672","49.43000"
"1.70000","0.28527","52.71242"
"1.80000","0.29361","55.93134"
"1.90000","0.30203","59.13521"
"2.00000","0.31029","62.25250"
"2.10000","0.31869","65.44991"
"2.20000","0.32701","68.67802"
"2.30000","0.33544","71.88972"
"2.40000","0.34376","75.01654"
"2.50000","0.35213","78.19765"
"2.60000","0.36055","81.45006"
"2.70000","0.36892","84.65532"
"2.80000","0.37731","87.78728"
"2.90000","0.38560","90.94836"
"3.00000","0.39392","94.16015"
"3.10000","0.40217","97.28320"
"3.20000","0.41063","100.43331"
"3.30000","0.41880","103.52866"
"3.40000","0.42717","106.79208"
"3.50000","0.43531","109.91817"
"3.60000","0.44364","112.99783"
"3.70000","0.45199","116.12373"
"3.80000","0.46051","119.43097"
"3.90000","0.46868","122.58203"
"4.00000","0.47701","125.63915"
"4.10000","0.48510","128.65961"
"4.20000","0.49355","131.90015"
"4.30000","0.50181","135.11626"
"4.40000","0.51031","138.31819"
"4.50000","0.51846","141.36743"
"4.60000","0.52698","144.62004"
"4.70000","0.53523","147.78587"
"4.80000","0.54379","150.99974"
"4.90000","0.55198","154.02196"
"5.00000","0.56039","157.22923"
"5.10000","0.56860","160.38783"
"5.20000","0.57704","163.56650"
"5.30000","0.58531","166.64485"
"5.40000","0.59393","169.93379"
"5.50000","0.60205","173.01923"
"5.60000","0.61050","176.17426"
"5.70000","0.61879","179.22289"
"5.80000","0.62740","182.48830"
"5.90000","0.63555","185.54745"
"6.00000","0.64398","188.75359"
"6.10000","0.65210","191.79794"
"6.20000","0.66067","194.96382"
"6.30000","0.66874","197.93202"
"6.40000","0.67727","201.17679"
"6.50000","0.68526","204.17955"
"6.60000","0.69377","207.33359"
"6.70000","0.70180","210.27641"
"6.80000","0.71042","213.56448"
"6.90000","0.71855","216.55305"
"7.00000","0.72712","219.68173"
"7.10000","0.73511","222.64478"
"7.20000","0.74371","225.91420"
"7.30000","0.75177","228.84671"
"7.40000","0.76040","231.98114"
"7.50000","0.76831","234.88278"
"7.60000","0.77696","238.11987"
"7.70000","0.78514","241.14697"
"7.80000","0.79386","244.33784"
"7.90000","0.80189","247.25967"
"8.00000","0.81045","250.39514"
"8.10000","0.81855","253.42366"
"8.20000","0.82714","256.64172"
"8.30000","0.83539","259.57715"
"8.40000","0.84383","262.57144"
"8.50000","0.85197","265.53079"
"8.60000","0.86066","268.74991"
"8.70000","0.86890","271.68616"
"8.80000","0.87744","274.75906"
"8.90000","0.88542","277.71210"
"9.00000","0.89386","280.78986"
"9.10000","0.90212","283.63794"
"9.20000","0.91075","286.75143"
"9.30000","0.91881","289.76187"
"9.40000","0.92724","292.81470"
"9.50000","0.93530","295.51599"
"9.60000","0.94367","298.47534"
"9.70000","0.95194","301.61002"
"9.80000","0.96042","304.64371"
"9.90000","0.96841","307.33093"
"10.00000","0.97689","310.29700"
"10.10000","0.98508","313.32663"
"10.20000","0.99374","316.47549"
"10.30000","1.00182","319.18140"
"10.40000","1.01026","322.09363"
"10.50000","1.01844","325.03439"
"10.60000","1.02699","328.12357"
"10.70000","1.03519","330.92914"
"10.80000","1.04383","333.85916"
"10.90000","1.05194","336.67783"
"11.00000","1.06037","339.68546"
