General : Specimen number,1
General : Start time,"3/2/2021 7:21 PM"
General : End time,"3/2/2021 7:21 PM"
Test : Test rate,"5.00000",mm/min
Specimen properties : Thickness,"3.08400",mm
Specimen properties : Width,"13.30000",mm
Specimen properties : Length,"50.00000",mm

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.01801"
"0.10000","0.00428","1.13180"
"0.20000","0.01385","3.89836"
"0.30000","0.02262","6.61373"
"0.40000","0.03139","9.41196"
"0.50000","0.03977","12.10961"
"0.60000","0.04830","14.92337"
"0.70000","0.05669","17.76920"
"0.80000","0.06500","20.67101"
"0.90000","0.07340","23.59552"
"1.00000","0.08153","26.42534"
"1.10000","0.08993","29.35989"
"1.20000","0.09815","32.25314"
"1.30000","0.10650","35.23583"
"1.37200","0.11266","37.47081"
